Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
783,10995169,Cody23,"2023-12-17 05:09:42",5.4737,2,cody23
784,11371235,"Niken Ayu","2023-12-17 05:52:06",5.4737,2,nikenayu
785,11085286,sowrdsman,"2023-12-17 09:22:36",5.4737,2,"chendongwei1971,enhoryu,liuyanfeng"
786,11317908,"MKS - 456","2023-12-17 07:53:37",5.4737,2,"koushikckc664,maheshjay"
787,11068310,llliiiyang,"2023-12-17 06:56:08",5.4737,1,llliiiyang
788,10972654,wacaw,"2023-12-17 07:48:49",5.4737,1,"chenyuetyler,semisk,tony271ynot,xiaohuivictorli"
789,11070457,"Michael Sh","2023-12-17 09:22:00",5.4737,1,michaelshekasta
790,10970622,skxlxr,"2023-12-17 10:18:01",5.4737,1,sreshkhsreshkh
791,11379940,WhyData,"2023-12-17 11:02:15",5.4737,1,whydata
792,11375607,haisleyqian,"2023-12-17 13:36:35",5.4737,2,haisleyqian
793,11319052,"Bruce Ma","2023-12-17 13:55:39",5.4737,2,mmmmmweichen
794,10949930,x5or6,"2023-12-17 14:03:22",5.4737,2,wuzimu
795,11069030,Ilya,"2023-12-17 14:06:57",5.4737,2,k4t4eff
796,11148755,fenghupo123,"2023-12-17 14:36:49",5.4737,2,fenghupo123
797,11338130,kalakagat,"2023-12-17 22:17:21",5.4737,2,kalakagat
798,11169754,i-w-a,"2023-12-17 15:07:00",5.4737,1,ichiko
799,10944759,"Takfarines Guergueb","2023-12-17 15:13:30",5.4737,1,bachaboos
800,11087652,QPM,"2023-12-17 17:39:28",5.4737,1,debashish311601
801,11273606,"Permanant 407","2023-12-17 17:50:34",5.4737,2,"firedragoncherry,piadina,wthisan,wuxinyi618,xiaozhu666"
802,11073390,dpquoc,"2023-12-17 18:09:46",5.4737,1,dpquoc
803,11391853,MatveyMotyavin,"2023-12-18 11:52:16",5.4737,2,matveymotyavin
804,11148884,"Kritdikoon Woraitthinan","2023-12-17 22:15:36",5.4737,1,jingwora1
805,10959958,"Niranjan Nakkala","2023-12-18 01:36:58",5.4737,2,niranjanmudhiraj
806,11069721,AlittleBitSad,"2023-12-18 03:40:29",5.4737,2,alittlebitsad
807,11311701,TrendTracers,"2023-12-19 04:05:22",5.4737,2,"himajakinthada,siddhantsoam,vishnupriyasanthosh"
808,11048840,"Crista Qiao","2023-12-20 05:29:48",5.4737,2,cristaqiao
809,10992313,"Yufeng Wu","2023-12-18 10:20:58",5.4737,2,yufengwu1996
810,11221094,HKY1234,"2023-12-18 06:51:12",5.4737,1,hky1234
811,11283874,sunny4119,"2023-12-18 07:04:18",5.4737,2,sunny4119
812,11015919,冯唐易老,"2023-12-18 07:05:14",5.4737,1,liuzhichao1984
813,10951493,喜欢大米饭(●'◡'●),"2023-12-20 17:53:19",5.4737,2,"kalvinlt,kyrieeach"
814,11210020,"Tofu Taro","2023-12-18 07:44:04",5.4737,1,tofutaro
815,10974730,"Patrick Chan","2023-12-18 12:42:06",5.4737,2,drpatrickchan
816,10997777,Roscoe,"2023-12-18 10:38:03",5.4737,2,korosuke
817,11093063,"Giovanna Brod Zamojska","2023-12-18 10:57:46",5.4737,1,giovannabrodzamojska
818,11241111,HarryLin2000,"2023-12-18 11:15:51",5.4737,2,harrylin2000
819,11199235,Romain,"2023-12-18 11:23:38",5.4737,1,romainmondelice
820,11096819,"【NCKU】 Genshin, Launch!","2023-12-19 03:28:42",5.4737,2,"concyclics,p76113028"
821,10967193,qmn2,"2023-12-20 15:06:05",5.4737,2,mm0901
822,11092238,NEXTNLP,"2023-12-20 11:23:33",5.4737,2,"jitoor,kagglecodalab,nextnlp,submitcsv,thesourch"
823,11022620,"Harshvivek Kashid","2023-12-18 18:05:01",5.4737,1,itzhv14
824,10950116,SiddhVR,"2023-12-20 16:20:39",5.4737,2,"shubhamcodez,siddhvr"
825,11288551,SSBharadwaj,"2023-12-18 19:32:03",5.4737,1,ssbharadwaj
826,10978530,"NoTodos los Cisnes son Blancos","2023-12-18 21:23:10",5.4737,2,"gdejos,geraldcampos10,stefanouccelli"
827,11076681,LIUGT,"2023-12-18 21:42:53",5.4737,1,hello66
828,11261404,"Frederick Gyllenhaal","2023-12-20 21:24:13",5.4737,2,frederickgyllenhaal
829,10957511,TJFM,"2023-12-19 01:37:06",5.4737,2,"hhgw2000,lindayee,shameyqi"
830,10948781,"Dmitry Sakhnov","2023-12-19 02:46:36",5.4737,1,dmitrysakhnov
831,10968153,ZJU_puppy,"2023-12-19 02:48:00",5.4737,2,"ruihuanhe,xuanz229"
832,10951606,naiveJeremy,"2023-12-19 03:42:07",5.4737,1,naivejeremy
833,11232245,Tomasack,"2023-12-19 04:11:01",5.4737,2,wstatcb58
834,10968846,SavorSauce,"2023-12-19 04:18:38",5.4737,2,nathaniellybrand
835,10949381,"Oliver Wang","2023-12-20 05:18:10",5.4737,2,oliverwang15
836,11359828,clairl,"2023-12-20 14:54:03",5.4737,2,clairl
837,11101137,Figy,"2023-12-19 05:24:09",5.4737,2,chrisfigy
838,10948676,yh1567,"2023-12-19 05:40:33",5.4737,1,yh1567
839,10998171,Satya,"2023-12-19 06:46:44",5.4737,2,satyaprakashshukl
840,11328984,guochunrui1102,"2023-12-19 08:59:02",5.4737,1,guochunrui1102
841,11386615,yakorovka,"2023-12-19 12:14:38",5.4737,2,yakorovka
842,11016606,MiHu,"2023-12-20 10:36:01",5.4737,2,chenboluo
843,10948592,"Yipeng CHEN","2023-12-20 11:12:16",5.4737,2,chaseyi
844,11085263,"Varun Manoj Gupta","2023-12-19 12:47:33",5.4737,2,varunmanojgupta
845,10953327,"Y̷̨̮̲̗̗̞̋͆͋̄̃̉͑̌̊̓̔̾͝ash Goel","2023-12-20 17:32:37",5.4737,2,goelyash
846,10952775,黄金矿工,"2023-12-19 16:34:42",5.4737,2,"del=95328ba7be354cf1,flyingfishr,yolovo,zhangqingrong11,zhoujunzheng"
847,10970913,Liber,"2023-12-19 18:36:52",5.4737,1,liberalist
848,11383948,"Elain Q","2023-12-20 13:32:49",5.4737,2,elainq
849,10956165,Lonnie,"2023-12-19 19:34:49",5.4737,1,lonnieqin
850,11277336,"Firat Gonen","2023-12-19 20:03:26",5.4737,1,"denizyigit,frtgnn"
851,11051534,IST-AML-2-Baam,"2023-12-19 21:15:13",5.4737,2,"amelielucker,anamarijab,bashir991,miguelparreira"
852,10949030,"Aaron Qin","2023-12-19 22:00:51",5.4737,2,"aaronqin1,eliotlin,ha0ranqi"
853,11052534,iRHh,"2023-12-19 22:36:06",5.4737,2,shuuum
854,11369674,"Katrin Sokolova","2023-12-20 10:22:38",5.4737,2,katrinsokolova
855,10963950,"Bo Peng","2023-12-19 23:19:31",5.4737,1,bopengiowa
856,11250523,"Gunveen Kaur Batra","2023-12-20 02:51:42",5.4737,2,"gunveenkaurbatra,vineethboopathy"
857,11357643,Jimmy,"2023-12-20 00:35:59",5.4737,1,yanmingyunmt
858,11374545,"Aarav and Jake","2023-12-20 06:00:59",5.4737,2,"aaravkhanna,jakobsilver"
859,11042404,"Edward K Q Zhang","2023-12-20 03:37:57",5.4737,1,edwardkqzhang
860,11008656,LAtw,"2023-12-20 05:17:06",5.4737,2,liutongwei
861,11070501,ShineHx,"2023-12-20 06:27:14",5.4737,1,hxshine
862,11200202,monkeypod,"2023-12-20 06:27:43",5.4737,2,monkeypod
863,11341132,"Bowei Shen","2023-12-20 07:19:26",5.4737,2,boweishen
864,11370616,"Hyunsoo Lee 1010","2023-12-20 08:14:49",5.4737,2,hyunsoolee1010
865,10963986,"quant road","2023-12-20 15:48:26",5.4737,2,"betterstudy,terryquant,yuzhan12138,zzy136"
866,11278869,MAOK-Yongsuk,"2023-12-20 09:49:40",5.4737,2,yongsukprasertsuk
867,10997346,"Xincindy Zhao","2023-12-20 10:31:54",5.4737,1,xincindyzhao
868,10993376,JTCapital,"2023-12-20 11:08:56",5.4737,1,"jtyoung,o10sosweet,sichuanghe"
869,11171398,Joejoezhou,"2023-12-20 14:09:36",5.4737,1,zhouyunan
870,11379247,mikesan,"2023-12-20 14:18:50",5.4737,1,ikesan
871,10960162,Dylan,"2023-12-20 15:10:10",5.4737,1,dylanchen666
872,11112110,"Alex Eslava","2023-12-20 16:22:01",5.4737,2,alexeslava
873,11349964,"K Fa","2023-12-20 16:35:07",5.4737,1,"dolphinlevop,stflicker"
874,11031258,"JHU Turing Tribe","2023-12-20 17:15:38",5.4737,2,"bblitz,foreverska,iradhalawongjhu,krasomil"
875,11134649,R!cK_ChaN,"2023-12-20 17:57:11",5.4737,2,rckchan
876,11175436,yuyuyu,"2023-11-20 13:17:32",5.4737,2,caoyuyuyu
877,11195211,oxxo,"2023-12-17 15:09:36",5.4737,2,dohyeonglee
878,10958940,oliver,"2023-12-20 07:17:36",5.4737,2,ollibolli
879,11359104,"Bon Intelli","2023-12-20 17:19:55",5.4737,2,glaskosk
880,11004792,"Samy D","2023-12-20 01:39:21",5.4737,2,samydamien
881,10946351,carrottail,"2023-12-18 21:56:10",5.4737,2,carrottail219
882,11003461,"Ruofan Xu","2023-12-20 13:45:55",5.4737,2,ruofanxu
883,11358160,"Dmitriy Ershov","2023-12-20 07:10:20",5.4738,1,bejeweled
884,10956131,DY-Z,"2023-11-19 20:03:12",5.4738,2,zhongdingyan
885,11362782,KentaTanaka,"2023-12-19 21:38:07",5.4738,1,kentatanaka1data
886,10977545,"Sergey Zhitansky","2023-12-20 08:04:11",5.4738,2,szhitansky
887,11016170,GianPaolob,"2023-12-20 08:02:39",5.4738,2,gianpaolobulleddu
888,11197054,hahacat,"2023-11-21 06:23:51",5.4738,1,hahacat
889,11385519,hanmengdie,"2023-12-20 18:08:46",5.4739,2,hanmengdie
890,11030469,"Baja Optiver","2023-11-09 20:37:01",5.4739,2,"avit672,brandonssharp,jatinsingh2019,thelazyaz"
891,11149466,"Bie Yuxian","2023-12-15 08:25:50",5.4739,2,bieyuxian
892,10947190,林小姐,"2023-11-21 09:33:58",5.4739,2,victoriasu
893,11158912,six996,"2023-12-18 21:45:14",5.4739,2,six996
894,11303962,Micher,"2023-12-20 19:28:19",5.4739,2,mchernyshev
895,10960275,leadmaker,"2023-12-20 14:11:22",5.4739,2,makeli
896,10950959,"Datathon Rush Rush Rush","2023-12-17 00:10:47",5.4739,1,"bransonguo,jackbai2001,luyutong,qianweijia,qijin1999"
897,11165749,louhergetup,"2023-12-20 16:07:05",5.4739,2,"louhergetup,yuhanqing"
898,10986388,"Nat Bel ML Fun","2023-12-13 03:42:14",5.4739,2,natbel4ml
899,11222605,miup88,"2023-12-20 12:53:22",5.4739,2,miup88
900,11006096,"Sir Andrew","2023-12-19 07:48:39",5.4739,1,recession
901,11194508,"Jack Byte","2023-12-20 05:18:24",5.4739,2,jackbyte
902,10969329,Irvin,"2023-12-10 13:06:12",5.4739,2,chenqixun1
903,11338737,肩パンとJK鼠蹊部嗅ぐこと大好きな50歳童貞加齢臭くそじじィ,"2023-12-17 09:02:20",5.4739,2,doft7401ud
904,11069592,"Paizões à Paisana","2023-12-10 18:18:36",5.4739,1,"guinlopes,luvathoms,nanoplayer,taketshi"
905,10965405,"RUIYAO YANG","2023-12-18 02:02:05",5.4739,2,ruiyaoyang
906,11157701,Locus90,"2023-12-18 09:13:17",5.4739,2,locus90
907,10967236,Panda,"2023-12-01 23:15:46",5.4739,2,panda16
908,11036950,ABCXM,"2023-12-20 14:13:32",5.4740,2,abc1705
909,11255282,jdjbssk,"2023-12-20 12:37:02",5.4740,2,jdjbssk
910,11352607,SiyunLu01,"2023-12-10 04:43:10",5.4740,2,siyunlu01
911,11302931,"Kang jung min","2023-12-16 05:05:58",5.4740,2,kangjungmin1
912,11258044,gtting,"2023-11-24 08:59:33",5.4740,2,gtting
913,11073437,GrigoryRy,"2023-12-04 14:44:47",5.4740,1,grigoryry
914,11150564,wenxixia_81,"2023-11-23 00:02:29",5.4740,1,wenxixia81
915,11215885,"Akhil Bannur","2023-12-18 00:00:30",5.4740,1,bannurakhil
916,11260108,Senwang98,"2023-12-05 04:44:07",5.4740,2,senwang98
917,11033612,secarbird,"2023-12-16 16:05:53",5.4740,2,secarbird
918,11337439,TGK,"2023-12-18 19:49:10",5.4741,2,hirokitanio
919,11359316,e0nia,"2023-12-15 16:24:09",5.4741,2,madhusudhananaidu
920,11026704,camey,"2023-12-20 17:03:42",5.4741,2,abcdcamey
921,10967804,Branden,"2023-12-17 22:11:19",5.4741,1,k1bae2301
922,10954359,"Nephys Dr","2023-12-06 15:55:30",5.4741,2,nephesd
923,11260348,RandomRetrieval,"2023-11-22 21:13:33",5.4741,2,"mengjie0621,zzhang222"
924,10957274,enddl22,"2023-12-19 10:55:35",5.4741,2,enddl22
925,11333414,"Aman Gupta","2023-12-02 07:00:09",5.4741,1,bolleyboll
926,11318560,"Thumpudi Vishnu","2023-12-02 07:24:04",5.4741,2,vishnuthumpudi
927,10969004,"MITESH ADAKE","2023-12-06 12:46:34",5.4741,2,miteshadake
928,11325599,行星纪元,"2023-12-03 03:05:25",5.4741,2,hzhfnbjl
929,10982351,RenWaTake,"2023-12-02 13:48:32",5.4741,1,kzptij
930,11334702,"Jeffrey Lihkust","2023-12-02 14:10:17",5.4741,2,jeffreylihkust
931,11000342,"Piotr Zamisnii","2023-12-02 14:24:48",5.4741,1,piotrzamisnii
932,11015250,"Haoyu Wangc","2023-12-02 14:58:12",5.4741,1,haoyuwangc
933,10947937,"Dineo Mofammere","2023-12-02 15:11:04",5.4741,1,dineomofammere
934,11336234,JasonZeng,"2023-12-03 00:18:01",5.4741,1,jasonzeng
935,11102649,"Ajitabh Kumar","2023-12-03 04:54:37",5.4741,1,ajikmr
936,10961202,VVVince,"2023-12-03 08:15:11",5.4741,2,sstarz
937,11107012,"Bhukya Satheesh","2023-12-03 09:02:34",5.4741,1,satheeshbhukya1
938,11325614,"[Deleted] 2648d70a-b39a-48d9-bbda-b03cf28243a8","2023-12-03 09:23:07",5.4741,2,del=b385425f6fc13917
939,11276258,Heisenberg,"2023-12-03 17:38:10",5.4741,2,smnomaan
940,11341144,"Daniel Yang","2023-12-04 02:41:19",5.4741,1,danielyang1009
941,10963991,Harw,"2023-12-04 03:10:49",5.4741,1,harwester
942,10950101,Len,"2023-12-04 21:32:08",5.4741,1,mrzlen
943,11094081,SrinivasR,"2023-12-05 20:13:17",5.4741,2,skr1125
944,11148019,"Nolan Sandgathe","2023-12-06 21:04:28",5.4741,1,nolansandgathe
945,11210944,AndruSha95,"2023-12-07 10:19:50",5.4741,1,andrusha95
946,11209141,Skanda,"2023-12-07 14:21:21",5.4741,2,chinnarajc
947,11357848,"Chen Yen Ooi","2023-12-07 17:26:46",5.4741,2,chenyenooi
948,11161001,HLI111111,"2023-12-08 07:11:06",5.4741,1,hli111111
949,11389308,kimyd146,"2023-12-14 21:55:25",5.4741,2,kimyd146
950,10975185,"Brayan G. Moreno","2023-12-15 04:33:54",5.4741,1,brayangarzonmoreno
951,11082729,CV_conda,"2023-12-20 12:32:20",5.4741,2,"cvconda,kagglerllm,nlpslm,ultracver,zlaber"
952,11367588,dchaimow,"2023-12-10 17:53:22",5.4741,2,dchaimow
953,11341351,NNalchemist,"2023-12-19 13:08:12",5.4741,1,"hugginglook,koalas,shuyingddyc,wolfmedal,yangbc"
954,10983570,"Volatility Smile","2023-12-10 08:56:29",5.4742,2,"chunkiatong,tanlooting"
955,11248657,"Raghu Ram Sattanapalle","2023-11-20 14:11:13",5.4742,1,raghuramsattanapalle
956,11020516,yshe,"2023-12-18 05:19:04",5.4742,2,yshehkust
957,11076238,"J Morgan Lee","2023-11-24 06:07:02",5.4742,2,jmorganlee
958,10963536,rc95401,"2023-12-03 05:05:53",5.4742,1,rc95401
959,11141819,Ikun_89757,"2023-12-17 12:38:39",5.4742,2,liuyixijia
960,11126392,"Fernando Samir Cruz Fama","2023-12-20 01:44:59",5.4742,1,shrekcrente
961,10966312,the_fellowship,"2023-12-12 20:32:49",5.4742,1,"ahmadasadi00,malihehbayat"
962,11009581,WinAtLeast1Medals,"2023-11-22 22:59:38",5.4743,1,winatleast1medals
963,11134267,cescofran,"2023-12-19 13:27:23",5.4743,2,cescofran
964,10948563,十万伏特,"2023-11-18 03:58:08",5.4743,1,"algerwang,baptisteaubertin,linli0902,yulin27"
965,11194375,LANG,"2023-12-16 10:26:28",5.4743,2,"quantlang,zengzijun"
966,10958690,cocochili,"2023-12-13 06:07:35",5.4743,1,aminedevhes
967,11375158,yiall3,"2023-12-19 13:01:28",5.4743,1,"ab9993,geraintuk2,gugu33,jizhier,yiall3"
968,10945010,"Jie Wu","2023-12-12 03:19:56",5.4743,2,lftuwujie
969,11200398,"Guan Lin Tao","2023-12-19 23:51:16",5.4743,1,guanlintao
970,10957181,samson,"2023-12-20 12:38:42",5.4743,1,samson8
971,10977012,DX2023,"2023-12-20 15:25:53",5.4743,2,"yuanfanxu,zhijindong"
972,10986973,"Crinkle Fries","2023-12-14 14:26:45",5.4743,2,"eeeeee4563,mrkrinkleclaypool"
973,11075769,"Ji Yuan","2023-12-05 09:30:09",5.4743,2,yuanji1239
974,11084647,LearnMoreJH,"2023-12-06 05:41:38",5.4744,2,learnmorejh
975,10950367,rutuja,"2023-12-07 08:48:25",5.4744,2,rutujab99
976,10972065,"Kyoungwon Jeong","2023-12-01 05:40:09",5.4744,2,kyoungwonjeong
977,11058567,someteams,"2023-12-02 16:14:27",5.4744,2,"evgeniybelyakin,vaskon"
978,10961060,"Daniel R","2023-11-17 13:48:38",5.4744,1,dretii
979,11078988,"Snigdha Chandan","2023-11-18 08:35:50",5.4744,1,nityasevak
980,11169549,Sunkistlee,"2023-11-18 14:29:18",5.4744,1,sunkistlee
981,11077534,"Chanho Lee","2023-11-22 05:38:22",5.4744,1,teddygood
982,10950982,dafsdfefasg,"2023-11-22 23:33:03",5.4744,1,fanxionghang
983,11298529,"ZeZhou Wang24","2023-11-27 09:15:34",5.4744,2,zezhouwang24
984,11130779,Koda00,"2023-12-01 19:56:31",5.4744,2,koda00
985,11314191,WEST-GQ,"2023-11-29 01:52:41",5.4744,1,cgq081616
986,11151898,XinGe01,"2023-11-29 11:03:09",5.4744,1,xinge01
987,11033181,newbie2023,"2023-12-06 16:31:15",5.4744,2,"cbb1994,lynnec,onepiecesea,yuwangbike"
988,11191009,"BB Bigbird","2023-12-02 17:38:01",5.4744,2,bbbigbird
989,11076350,ToBeMaster,"2023-12-05 06:34:23",5.4744,1,kgmaster
990,11335376,chacc0,"2023-12-08 18:57:48",5.4744,1,chacc0
991,11090080,prash4nt,"2023-12-14 10:43:19",5.4744,2,prash4nt
992,11347757,RuizheDai,"2023-12-12 16:00:54",5.4744,1,ruizhedai
993,11379664,新手爸爸深度探險家,"2023-12-14 07:46:52",5.4744,1,taichengliu1234
994,11383572,"Erik Fehn","2023-12-15 07:37:44",5.4744,2,blueaz
995,11337997,hjjznb,"2023-12-15 00:30:50",5.4744,2,hjjznb
996,11391847,"Ioannis M","2023-12-14 09:48:21",5.4744,1,imeintanis
997,10994533,CheckRaise,"2023-12-20 21:19:13",5.4744,2,"dududu16,gearless"
998,11243181,ya9do,"2023-12-14 14:30:06",5.4744,1,ya9doo
999,11284957,你是否能笑,"2023-12-20 16:07:52",5.4744,2,xxxzedmy
1000,11191814,"Zhenxiao Deng","2023-12-20 19:09:04",5.4744,2,zhenxiaodeng
1001,11027175,"Jiaheng Zhou","2023-12-20 18:59:36",5.4744,2,jiahengzhou
1002,11226065,Highlanders,"2023-11-18 01:14:36",5.4745,1,"phanindrasairam,vaddemanoj"
1003,10984671,andrekos,"2023-12-19 16:42:12",5.4745,1,andrekos
1004,11046971,"Alpha Master S.S.","2023-12-09 07:01:36",5.4745,2,alphamasterss
1005,11015293,"Dung Nguyen","2023-11-29 04:10:12",5.4745,2,dan5345
1006,11255116,NickWilde18,"2023-11-30 10:16:47",5.4745,2,"mengkangli,nickwilde18,sherlockzeng"
1007,11033528,Elite,"2023-12-17 20:06:57",5.4745,1,"antonioalvasan,fabrizzioo,guillermolopezgomez"
1008,11344309,"Jerry LLC","2023-12-17 03:35:29",5.4745,1,ctdlzy
1009,11379455,最後の波紋だぜ,"2023-12-15 04:57:04",5.4745,2,"ao2233,fuminsyo,neverlearndl"
1010,11328245,ThomasG,"2023-12-06 15:57:46",5.4745,1,thomasgamet
1011,10971734,"Borja Freire Castro","2023-11-21 13:37:14",5.4745,1,borjafreirecastro
1012,11328332,htao1234,"2023-12-05 08:58:32",5.4746,2,htao1234
1013,10953466,Y.L.,"2023-12-20 08:23:52",5.4746,1,likedl88
1014,11213094,"Adam Tomys","2023-12-14 17:06:39",5.4746,2,adamtomys03
1015,11382351,"hongyao hongyao","2023-12-19 03:24:27",5.4746,2,hongyaohongyao
1016,10997296,renxiaohan,"2023-11-09 08:59:19",5.4746,1,renxiaohan
1017,11303231,"Yuki Take93","2023-12-19 12:29:28",5.4746,2,yukitake93
1018,11237517,"John Mitchell","2023-11-21 09:44:05",5.4746,1,jbomitchell
1019,11302496,"Hajime Tamura","2023-12-20 17:02:27",5.4746,2,thajime
1020,11332569,Kaggle_Learner12,"2023-12-02 19:29:23",5.4746,2,kagglelearner12
1021,11285827,lowry2333,"2023-12-19 09:47:38",5.4747,2,lowry2333
1022,11104733,jo,"2023-12-03 15:26:08",5.4747,2,jopinglee
1023,11336562,Koi,"2023-12-20 12:52:06",5.4747,1,flashba
1024,10955464,"ming and liyang","2023-12-20 04:35:11",5.4747,2,"liyangchenrice,mingmichelle0414"
1025,11083040,fanshutou,"2023-12-07 10:30:06",5.4747,1,fanshutou
1026,11049402,mayuulove,"2023-12-19 03:14:16",5.4748,1,yasuhironagasaka
1027,10951382,CL,"2023-12-20 16:24:35",5.4748,2,"findcxtcom,huzhao23,jerrychan666"
1028,11009956,twhsu,"2023-12-15 05:06:08",5.4748,1,r08946016
1029,11223448,not_a_pro,"2023-12-20 14:12:18",5.4748,1,"alexanderglazkov,maxzorn,naughtysoft"
1030,11338901,EmmaSwan1409,"2023-12-03 16:19:58",5.4748,1,emmaswan1409
1031,11140133,"Ben Phillips","2023-12-03 20:52:21",5.4748,1,benphillips99
1032,11199736,ti0b10,"2023-12-04 00:59:43",5.4748,1,ti0b10
1033,11235380,孙仲达,"2023-12-04 03:24:37",5.4748,1,sun190993
1034,11240473,ds.wook,"2023-12-04 04:30:19",5.4748,2,leewook
1035,11181190,LeeMinHyeong,"2023-12-04 06:10:26",5.4748,1,leeminhyeung
1036,10975508,ddevereux_,"2023-12-04 06:44:45",5.4748,2,tuulasralt
1037,11200280,"Jay brek (brekJ)","2023-12-04 08:15:23",5.4748,1,jaybrekbrekj
1038,11053791,"Xing Qingyu","2023-12-04 09:52:29",5.4748,1,xingqingyu
1039,11073634,Skeimor,"2023-12-04 11:54:59",5.4748,1,skeimor
1040,11104766,MMA,"2023-12-04 12:15:48",5.4748,2,m7mdalbaddawi
1041,11326069,DanilAbdullin,"2023-12-04 14:45:31",5.4748,1,danilabdullin
1042,11105500,"GXY YY","2023-12-08 06:05:11",5.4748,2,"frankyysz,gxy983"
1043,11055248,BrownMar,"2023-12-04 20:29:23",5.4748,1,brownmar
1044,10950476,"Wolverine & Baboon","2023-12-05 01:55:38",5.4748,1,"juanxu,ldwwwxndy,ongwenchen"
1045,11341347,hadiiiii,"2023-12-05 03:06:44",5.4748,1,hadiiiii
1046,11135286,eno3940,"2023-12-05 04:41:41",5.4748,1,"ahhyunkang,eno3940,monkeyjeong"
1047,10984618,APAM,"2023-12-05 05:00:40",5.4748,2,"hanyongwunrow,hongjinw,yc3855"
1048,11000289,ZengHL,"2023-12-05 08:37:52",5.4748,2,marshjff
1049,11022622,"bikesh prajapati","2023-12-05 14:18:21",5.4748,1,bikeshprajapati
1050,11275772,vb,"2023-12-05 14:40:17",5.4748,2,vyacheslavbolotin
1051,11352103,dinhtt-randrise,"2023-12-18 19:55:48",5.4748,2,dinhttrandrise
1052,11352205,"Khlifi Mohamed","2023-12-06 14:13:36",5.4748,2,khlifimohamed
1053,11351608,ShlyakhovDmitry,"2023-12-05 16:57:17",5.4748,1,shlsumy
1054,10957937,Turtle,"2023-12-07 17:01:09",5.4748,2,turtleduck
1055,11353302,"Octavio Grau","2023-12-05 20:34:47",5.4748,2,octaviograu
1056,11032614,"Abid Ali Awan","2023-12-05 21:25:06",5.4748,2,kingabzpro
1057,10963762,"Zhiyu Yin","2023-12-05 22:24:45",5.4748,1,zhiyuyin
1058,11010430,weiyang,"2023-12-06 11:39:48",5.4748,1,weiyangeliu
1059,11350355,Nardi,"2023-12-06 11:52:26",5.4748,1,nardii
1060,10965293,Albanito,"2023-12-06 13:36:16",5.4748,1,albansteff
1061,11151165,"Михаил Бобров","2023-12-06 14:41:49",5.4748,2,bobermiha
1062,11357713,kccccc,"2023-12-06 14:54:15",5.4748,1,kccccc
1063,11358420,Pk,"2023-12-06 17:05:10",5.4748,1,kirtirajsinhparmar
1064,11160881,我不道啊,"2023-12-07 00:46:55",5.4748,1,ayeer172
1065,11360212,FsheriF,"2023-12-07 03:17:45",5.4748,1,fsherif
1066,11337120,"[Deleted] 2431d3a5-6779-4ac5-b668-78c8577ee131","2023-12-07 05:43:40",5.4748,1,del=62c7a7a31d8c72ab
1067,11336990,PhilpusNaveed,"2023-12-19 11:52:44",5.4748,2,philpusnaveed
1068,11066155,Angguo,"2023-12-07 06:55:19",5.4748,1,davenfuual
1069,10956686,YoungMasterforDA,"2023-12-07 07:00:45",5.4748,1,shijilong
1070,10953986,直接重仓空进去,"2023-12-07 07:02:00",5.4748,1,haozhang116
1071,11065507,ark,"2023-12-07 10:16:42",5.4748,1,"krishanusaini,riturajkumar007,sanikeit"
1072,11353606,DEEEEE,"2023-12-07 17:12:58",5.4748,1,wangwangcat
1073,11054886,"William Hau","2023-12-07 21:09:57",5.4748,1,williamhau
1074,10963832,Aohuijie,"2023-12-10 06:01:48",5.4748,1,"daaohuijie,shiloh2nus"
1075,10955765,washFaceB4,"2023-12-10 08:13:19",5.4748,1,washfaceb4
1076,11327137,"Aleksandr Isakov","2023-12-10 22:37:44",5.4748,1,aleksandrisakov
1077,11392488,"Umer Farooq","2023-12-14 10:54:32",5.4748,1,umerfarooq807
1078,11239673,Nowgger,"2023-12-17 01:16:47",5.4748,2,nowgger
1079,11378503,TeamTiga,"2023-12-17 20:59:49",5.4748,2,renandapurba
1080,10995705,"Ramón Sieira Martínez","2023-12-17 18:45:20",5.4748,2,"ferminjimenez,rasieira"
1081,11049424,"Kentaro Tanaka","2023-12-19 15:27:44",5.4748,2,kentarotnk
1082,11060465,da_pond,"2023-12-18 16:40:45",5.4748,1,dapond
1083,11381987,wcq_glhf,"2023-12-18 17:08:04",5.4748,1,wcqglhf
1084,10947911,XX,"2023-12-19 16:33:19",5.4748,1,zkcheng
1085,11003761,kansk42,"2023-12-19 21:30:29",5.4748,1,kansk42
1086,11111176,"Arthur Steve619","2023-12-20 07:35:10",5.4748,1,arthursteve619
1087,11059789,"Joan Sarmiento","2023-12-20 13:14:13",5.4748,1,"joantotem,josesebastiantorres"
1088,10958886,BAWC,"2023-12-20 19:32:09",5.4748,2,simonxsy
1089,10966258,StarPlatinum810,"2023-12-10 20:58:41",5.4748,2,starplatinum810
1090,11289223,"[Deleted] 1d80a9ff-fbdb-462c-bc35-f815e2fbe6fb","2023-12-19 14:52:47",5.4748,2,del=3215f0c4f0715b01
1091,11339996,Yosuke_A,"2023-12-20 11:58:00",5.4748,2,yosukea
1092,11228143,"Georgy Buzikashvili","2023-12-20 18:24:47",5.4749,2,georgybuzikashvili
1093,11046357,smittenk,"2023-12-13 02:33:29",5.4749,2,smitten20
